id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
77901368," Bộ lửng nam phối trơn, Hàng chất đũi thái 100%. Chất dày dặn, Thoáng nhẹ, Mềm mát, Thấm hút mồ hôi",OEM,199000,0,199000,0,6,5,2,147177,Chuyên quần áo đũi Thyear,983,4.3202,False,559,119
68722575,"Đồ Bộ nam , đồ thể thao nam chất thun lạnh mềm mịn",OEM,95000,0,95000,0,3,4,2,107394,Đầm YuRin,1185,4.3199,False,3423,1268
71941220,Bộ quần áo thể thao nam nữ in cờ,OEM,95000,0,95000,0,29,4.6,13,107394,Đầm YuRin,1185,4.3199,False,3423,1268
217146210,Bộ quần áo thun thu đông nam cổ tròn,OEM,25000,0,25000,0,1,5,1,266694,Đại lý X26 Lục Quân,380,4.7227,False,119,35
68698229," Bộ Đũi Nam - Áo Đũi Quần Ngắn ,Chất Mát Nhẹ Như Không 2020 - atbs",OEM,188000,0,188000,0,61,4.5,26,151039,ATB Shop,962,4.3907,False,343,34
157138589,"Đồ bộ Pyjama Nam chất liệu phi bóng rũ mềm mại,cổ điển sang trọng 88230",OEM,285000,142500,142500,50,1,5,1,6837,HOTLY2,1767,4.0597,False,1324,110
10999463,Set 2 quần đùi nam JMB024,JME,110000,0,110000,0,325,3.7,20,4799,Speranza official store,1819,4.0563,True,515,79
79668507,BỘ QUẦN ÁO NAM BA LỖ THỂ THAO NĂNG ĐỘNG,OEM,249000,42000,207000,17,1,5,1,162586,FASHIONMEN 93,869,3.9667,False,150,27
178312801,Đồ Bộ Nam CARDINA Chất Cotton Cao Cấp Áo Sát Nách Quần Đùi Dáng Thể Thao 2CM08,CARDINA,599000,180000,419000,30,14,5,7,158909,CARDINA FASHION,753,4.8332,True,4256,6510
79721715,Bộ đồ UNISEX nam nữ in chữ Hàn,OEM,82000,0,82000,0,16,2.5,4,107394,Đầm YuRin,1185,4.3199,False,3423,1268
111663832,Bộ Quần Áo Nam Sơ Mi Cộc Tay Cổ Ve In Chữ F.U.K.K Quần Kaki Basic Thời Trang Zenko SO MI NAM 1000024 + QUAN NAM 1000060,OEM,138000,0,138000,0,3,1,1,202907,Zenkonu,680,3.3183,False,666,148
136541736,BỘ ĐỒ NỈ COTTON THU ĐÔNG NAM DÀI DÀY ẤM,OEM,269000,45000,224000,17,35,3.9,7,170798,Đức Shop,808,4.0247,False,81,11
100897235,Bộ Quần Áo Nam Thể Thao Viền Tay Cao Cấp thời Trang ZERO,Zero,300000,91000,209000,30,80,4.5,33,9644,Aviano Official Store,1610,4.3263,True,11908,4704
153553789,"Bộ đũi nam siêu rẻ, chất đũi thái mát mẻ họa tiết nhẹ nhàng sang trọng lịch sự",OEM,229000,0,229000,0,12,4.7,3,255622,Kiên Fashion 1,508,4.275,False,40,15
148006565,"Áo Giữ Nhiệt Thể Thao Dài Tay Nam, Áo Giữ Nhiệt Mặc Đá Bóng",OEM,85000,0,85000,0,8,2.5,2,250472,Bùi Việt Anh,526,4.3265,False,98,16
177496110,áo sơ mi nam dài tay chấm bi vải lụa S12,OEM,270000,0,270000,0,5,4.5,2,148888,Xưởng Quần Áo Nam Thiết Kế,975,4.7276,False,290,99
77901590," CD Bộ ngắn tay ngắn cổ dây, Hàng chất đũi thái 100%, Thoáng nhẹ, Mềm mát, Dầy dặn, Phom dáng chuẩn",OEM,159000,0,159000,0,4,3,2,147177,Chuyên quần áo đũi Thyear,983,4.3202,False,559,119
79396134,Áo thun unisex cotton thoáng mát lục lăng (unisex nam nữ đều mặc được),OEM,109000,0,109000,0,4,5,1,146610,Thời trang Unisex MonsterX,984,4.3869,False,610,489
198192659,"Áo khoác gió nam nữ 2 lớp chống nắng nước form rộng, phối màu du lịch thể thao DazzieMenwear",OEM,170000,0,170000,0,12,4,4,75291,Xưởng Thời Trang Hùng,1351,3.9519,False,3076,642
169568347,Đồ đôi đi biển xinh xắn cho gia đình- giá nguyên bộ luôn quần và áo,OEM,94700,0,94700,0,8,5,1,272212,SHOP HPQ CHUYÊN ĐỒ ĐI BIỂN SÀI GÒN,431,4.8,False,30,3
247898513,áo sơ mi ngấn + thời trang,OEM,110000,0,110000,0,1,5,1,327269,PHAN HOÀI THƯƠNG,64,5,False,1,0
165219220,Quần Jean Nam Co Giãn Ống Đứng Dáng Đẹp Màu Xanh Đậm,	OEM,180000,0,180000,0,11,5,2,194524,HẠNH HANH SHOP,672,4.6205,False,195,96
176134676,"Quần Jean Nam Ống suông 03 màu cơ bản, form chuẩn đẹp size từ 50-90kg Jean002",OEM,99000,0,99000,0,4,4,1,62358,Hương Nemo Style,1401,3.9111,False,5546,857
21477434,COMBO 3 ÁO 3 LỖ NAM,WINFA,105000,0,105000,0,14,4.1,7,40463,THỜI TRANG WINFA,1353,4.3333,False,369,44
180925796,Quần Short KaKi Nam ht22,OEM,128000,0,128000,0,8,4,1,151014,Shop Thái Phát,962,4.0858,False,1329,130
105260678,"Quần short kaki nam lưng thun, từ 45kg đến BIG SIZE 90kg - NH shop",OEM,89000,27000,62000,30,55,4.6,17,138948,Xưởng May Hải Triều,1031,4.0814,False,799,95
71153341,Áo thun nam ngắn tay cổ tim cúc ngực thời trang Sitaki cao cấp ATN04-5 màu,SITAKI,80000,4000,76000,5,142,4.2,57,22563,sitaki store,1536,4.0966,False,766,68
162097090,QUẦN KAKI NAM TÚI MỸ DÁNG SUÔNG,OEM,177000,27000,150000,15,6,3,2,194524,HẠNH HANH SHOP,672,4.6205,False,195,96
85087082,Áo sơ mi nam ngắn tay,OEM,159000,0,159000,0,12,3.6,5,21636,SOMINAM,1523,4.4319,False,653,155
105949328,Áo sơ mi nam công sở đẹp (sọc ngang),OEM,125000,0,125000,0,5,3.7,3,194545,EMEY FASHION,703,3.9706,False,68,7
229740705,Áo thun nam màu cafe sữa chất liệu 100% cotton dày dặn co giãn tay ngắn,OEM,169000,0,169000,0,1,4,1,311515,Áo Thun Bảo Hân,168,4.8889,False,9,2
49009139,ÁO SƠ MI NAM HỌA TIẾT THÊU CAO CẤP CHẠY NHẤT THỊ TRƯỜNG,OEM,77000,0,77000,0,63,4.2,20,75291,Xưởng Thời Trang Hùng,1351,3.9519,False,3076,642
81714071,Quần Short Nam Kaki Lưng Thun LD02,OEM,70000,0,70000,0,44,3.3,16,151014,Shop Thái Phát,962,4.0858,False,1329,130
100529670,"Áo thun Unisex phản quang 7 màu (Mặc định là màu đen, ib cho shop nếu bạn muốn lấy màu trắng) Có size tay lỡ",VHL,104000,0,104000,0,1,5,1,188564,HL Kids,724,3.8256,False,86,26
114318589,ÁO THUN FOM RỘNG NAM NỮ CHO MÙA HÈ MẪU MỚI NHẤT HIỆN NAY,OEM,62000,13000,49000,21,3,5,1,206971,QUOC BAO FASHION,668,3.594,False,463,78
181422987,"Áo sơ mi nam cổ tầu mở khuy chất đũi trẻ trung, thời trang phong cách trẻ",SLINEN,189000,0,189000,0,2,3,1,202881,Đức Hiệp Store,680,3.9528,False,424,77
